driver_id,total_fare,avg_distance
7,60.620000000000005,7.59
15,106.81,49.38
54,11.92,37.36
11,132.39,17.99
29,63.03,8.83
69,188.29,30.825000000000003
64,145.33,20.095
3,104.23,43.18
30,191.93,12.91
34,113.4,20.653333333333332
59,37.06,23.78
8,334.87,29.1475
22,298.66,17.154999999999998
85,161.91,31.116666666666664
52,96.48,22.65
71,197.81,19.3
98,224.74,30.173333333333332
47,129.39000000000001,41.355000000000004
99,80.62,45.16
96,109.1,6.36
31,328.1,25.086666666666662
100,176.88,28.369999999999997
18,41.21,22.16
70,86.46,7.09
61,115.78,14.385
27,20.56,14.2
75,113.11,23.814999999999998
17,129.46,32.775
26,166.78,8.153333333333334
46,261.8,14.739999999999998
78,252.10999999999999,9.775
77,27.6,26.16
89,212.49,12.865
6,290.65,20.143333333333334
60,104.27,42.275000000000006
68,194.43,14.213333333333333
90,121.5,31.86
19,133.10999999999999,8.75
41,141.55,20.8
93,135.42,17.310000000000002
95,94.88,10.28
38,215.28,10.5
40,112.65,17.35
25,14.69,39.88
44,101.37,36.13
82,162.54000000000002,31.833333333333332
58,291.11,19.816666666666666
81,36.47,40.41
48,127.21,13.665
97,74.77,25.53
67,141.03,17.06
84,199.38,36.75
79,197.53,22.840000000000003
24,269.65,41.14666666666667
9,278.66999999999996,32.11333333333334
32,73.51,10.27
88,37.4,44.32
1,264.21000000000004,32.26
20,147.55,29.54
56,22.38,47.72
36,148.39,25.123333333333335
37,155.71,24.043333333333337
49,238.51999999999998,17.6575
63,61.58,17.45
4,120.28,39.86
39,104.18,4.36
62,77.79,24.67
12,47.0,32.77
13,128.09,9.96
14,94.32000000000001,38.675
21,17.92,3.0
66,89.41,34.04
91,138.02,32.745000000000005
94,26.19,30.09
72,38.44,48.92
74,108.87,41.1
76,180.18,24.835
2,152.05,14.205
80,277.96000000000004,30.183333333333334
