driver_id,total_fare,avg_distance
54,130.72,36.85
29,67.34,25.54
69,133.36,3.59
87,78.21,10.74
34,34.45,35.53
28,142.03,40.67
85,120.69,7.37
16,46.46,5.15
35,6.0,21.22
52,120.99,26.96
71,249.54,28.825000000000003
47,17.32,40.51
31,134.31,4.49
27,216.59,31.585
41,240.85999999999999,45.93
55,181.93,17.59
25,248.95,42.675
81,8.45,14.77
33,120.03,20.74
84,139.2,25.99
36,124.05,28.259999999999998
49,11.19,25.07
63,48.55,23.17
65,172.81,32.28
13,135.62,14.205
66,145.44,34.94
91,8.85,23.06
72,29.48,27.35
2,81.71,18.95
