driver_id,total_fare,avg_distance
54,130.72,36.85
29,205.32,20.619999999999997
69,261.73,5.72
42,144.67,14.71
87,78.21,10.74
34,34.45,35.53
59,24.48,35.09
8,43.48,25.85
28,188.11,35.56
85,120.69,7.37
16,46.46,5.15
35,6.0,21.22
52,120.99,26.96
71,249.54,28.825000000000003
98,118.32,35.05
47,75.55,43.34
31,242.97,15.555
27,216.59,31.585
46,6.57,41.55
6,31.49,32.19
41,254.48,37.550000000000004
55,181.93,17.59
95,266.97,22.080000000000002
40,26.88,13.65
38,125.79,45.07
25,248.95,42.675
92,142.65,5.46
81,8.45,14.77
33,120.03,20.74
67,49.55,5.89
84,139.2,25.99
9,10.29,12.31
32,142.75,41.96
20,85.44,26.945
36,164.37,24.453333333333333
49,11.19,25.07
63,48.55,23.17
65,172.81,32.28
62,107.93,38.9
13,198.79000000000002,16.733333333333334
14,133.57999999999998,25.835
21,69.83,7.21
66,145.44,34.94
91,8.85,23.06
94,124.13,21.419999999999998
72,29.48,27.35
2,81.71,18.95
80,26.45,27.34
